AN_BASE,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_BASICA,NM_SUBAREA_CONHECIMENTO,NM_ESPECIALIDADE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,IN_REDE,SG_ENTIDADE_ENSINO_REDE,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,AN_INICIO_CURSO,DS_SITUACAO_PROGRAMA,DT_SITUACAO_PROGRAMA,ID_ADD_FOTO_PROGRAMA_IES,ID_ADD_FOTO_PROGRAMA,PAIS
2019,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIA CIVIL,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,PORTO ALEGRE,ACADÊMICO,42001013015P6,RECURSOS HÍDRICOS E SANEAMENTO AMBIENTAL,WATER RESOURCES AND ENVIRONMENTAL SANITATION,6,1969,1969/1989,EM FUNCIONAMENTO,03Jul2013 0:00:00,156549,91932,BRASIL
2019,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,UEL,UNIVERSIDADE ESTADUAL DE LONDRINA,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUL,PR,LONDRINA,ACADÊMICO,40002012045P3,FILOSOFIA,PHD PHILOSOPHY - POSTGRADUATE,4,2010,2010/2019,EM FUNCIONAMENTO,17Oct2011 0:00:00,156580,91940,BRASIL
2019,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,PR,MATINHOS,ACADÊMICO,40001016081P3,DESENVOLVIMENTO TERRITORIAL SUSTENTÁVEL,MASTER IN SUSTAINABLE TERRITORIAL DEVELOPMENT,4,2014,2014,EM FUNCIONAMENTO,07Oct2014 0:00:00,156918,92268,BRASIL
2019,CIÊNCIAS HUMANAS,ARQUEOLOGIA,ARQUEOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,PE,RECIFE,ACADÊMICO,25001019059P5,ARQUEOLOGIA,ARCHAEOLOGY,5,2003,2003/2003,EM FUNCIONAMENTO,20Sep2012 0:00:00,156926,92276,BRASIL
2019,ENGENHARIAS,ENGENHARIA BIOMÉDICA,ENGENHARIA BIOMÉDICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,UNIVBRASIL,UNIVERSIDADE BRASIL,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33056013015P1,ENGENHARIA BIOMÉDICA,BIOMEDICAL ENGINEERING,4,2009,2009/2009,EM FUNCIONAMENTO,08May2013 0:00:00,156944,92285,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,INES,INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,NÃO,NA,FEDERAL,PÚBLICO,FACULDADE,SUDESTE,RJ,RIO DE JANEIRO,PROFISSIONAL,31047017001P0,EDUCAÇÃO BILÍNGUE,BILINGUAL EDUCATION,A,2019,2019,EM FUNCIONAMENTO,10Feb2020 0:00:00,157460,92711,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,ASTRONOMIA,ASTRONOMIA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,ON,OBSERVATÓRIO NACIONAL,NÃO,NA,FEDERAL,PÚBLICO,NÃO INFORMADO,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31013015001P9,ASTRONOMIA,GRADUATE PROGRAM IN ASTRONOMY,6,1969,1969/1975,EM FUNCIONAMENTO,27Sep2013 0:00:00,157461,92712,BRASIL
2019,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,UFMS,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,CENTRO-OESTE,MS,CAMPO GRANDE,ACADÊMICO,51001012036P9,ENFERMAGEM,NURSING,3,2012,2012,EM FUNCIONAMENTO,08Mar2013 0:00:00,143530,79762,BRASIL
2019,CIÊNCIAS DA SAÚDE,MEDICINA,PSIQUIATRIA,PSIQUIATRIA,NÃO SE APLICA,16,MEDICINA II,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33009015033P0,PSICOBIOLOGIA,PSYCHOBIOLOGY,7,1986,1986/1986,EM FUNCIONAMENTO,27Jan2014 0:00:00,143716,79922,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,FUMEC,UNIVERSIDADE FUMEC,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUDESTE,MG,BELO HORIZONTE,ACADÊMICO,32053010004P8,ESTUDOS CULTURAIS CONTEMPORÂNEOS,CONTEMPORARY CULTURAL STUDIES,3,2014,2014,EM DESATIVACAO,21Aug2018 0:00:00,157806,93068,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,LINGÜÍSTICA,LINGÜÍSTICA,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31005012037P4,ESTUDOS DA LINGUAGEM,GRADUATE PROGRAM ON LANGUAGE STUDIES,5,2011,2011/2011,EM FUNCIONAMENTO,23Oct2012 0:00:00,157851,93093,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,PE,RECIFE,ACADÊMICO,25001019030P7,DESENVOLVIMENTO URBANO,MASTERS AND DOCTORATE IN URBAN DEVELOPMENT,5,1975,1975/1999,EM FUNCIONAMENTO,09Jan2014 0:00:00,157855,93097,BRASIL
2019,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,RN,NATAL,ACADÊMICO,23001011003P4,PSICOBIOLOGIA,GRADUATE PROGRAM IN PSYCHOBIOLOGY,6,1985,1985/1998,EM FUNCIONAMENTO,17Feb2014 0:00:00,155067,89842,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,UFABC,UNIVERSIDADE FEDERAL DO ABC,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO BERNARDO DO CAMPO,ACADÊMICO,33144010012P9,PLANEJAMENTO E GESTÃO DO TERRITÓRIO,TERRITORIAL PLANNING AND MANAGEMENT,4,2011,2011/2013,EM FUNCIONAMENTO,24Jan2011 0:00:00,155098,89847,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,UNESP-BAURU,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BAURU ),NÃO,NA,ESTADUAL,PÚBLICO,NÃO INFORMADO,SUDESTE,SP,BAURU,PROFISSIONAL,33004056088P9,MÍDIA E TECNOLOGIA,MEDIA AND TECHNOLOGY,4,2008,2008,EM FUNCIONAMENTO,13Jun2013 0:00:00,155112,89861,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,ENSINO PROFISSIONALIZANTE,TÓPICOS ESPECÍFICOS DE EDUCAÇÃO,ENSINO PROFISSIONALIZANTE,38,EDUCAÇÃO,USP,UNIVERSIDADE DE SÃO PAULO,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,PROFISSIONAL,33002010234P0,ENSINO DE ASTRONOMIA,PROFESSIONAL MASTER IN TEACHING ASTRONOMY,3,2013,2013,EM FUNCIONAMENTO,15May2013 0:00:00,146699,83330,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31001017161P1,GEOCIÊNCIAS: PATRIMÔNIO GEOPALEONTOLÓGICO,GEOSCIENCES: GEOPALEONTOLOGICAL HERITAGE,3,2015,2015,EM FUNCIONAMENTO,26Mar2015 0:00:00,146716,83362,BRASIL
2019,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,AL,ARAPIRACA,ACADÊMICO,26001012033P9,AGRICULTURA E AMBIENTE,AGRICULTURE AND ENVIRONMENT,3,2012,2012,EM FUNCIONAMENTO,22Jul2013 0:00:00,152997,87463,BRASIL
2019,CIÊNCIAS AGRÁRIAS,ENGENHARIA AGRÍCOLA,ENGENHARIA AGRÍCOLA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,UFMT,UNIVERSIDADE FEDERAL DE MATO GROSSO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,CENTRO-OESTE,MT,RONDONÓPOLIS,ACADÊMICO,50001019030P8,ENGENHARIA AGRÍCOLA,GRADUATE PROGRAM IN AGRICULTURAL ENGINEERING,3,2011,2011,EM FUNCIONAMENTO,16Dec2012 0:00:00,155664,90931,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,CLIMATOLOGIA,METEOROLOGIA,CLIMATOLOGIA,5,GEOCIÊNCIAS,UECE,UNIVERSIDADE ESTADUAL DO CEARÁ,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,NORDESTE,CE,FORTALEZA,PROFISSIONAL,22003010070P3,CLIMATOLOGIA E APLICAÇÕES NOS PAÍSES DA CPLP E ÁFRICA,CLIMATOLOGY AND APPLICATIONS IN CPLP AND AFRICA COUNTRIES,3,2016,2016,EM FUNCIONAMENTO,27May2016 0:00:00,156277,91663,BRASIL
2019,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,UNIVASF,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,PE,PETROLINA,ACADÊMICO,25020013003P7,BIOCIÊNCIAS,BIOSCIENCES,3,2011,2011,EM FUNCIONAMENTO,13Dec2013 0:00:00,156279,91665,BRASIL
2019,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA SOCIAL,PSICOLOGIA SOCIAL,NÃO SE APLICA,37,PSICOLOGIA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,PORTO ALEGRE,ACADÊMICO,42001013064P7,PSICOLOGIA SOCIAL E INSTITUCIONAL,GRADUATE PROGRAM IN SOCIAL PSYCHOLOGY,5,1998,1998/2010,EM FUNCIONAMENTO,11Mar2014 0:00:00,156093,91510,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,PROFISSIONAL,31001017159P7,TECNOLOGIA PARA O DESENVOLVIMENTO SOCIAL,TECHNOLOGY FOR SOCIAL DEVELOPMENT,3,2016,2016,EM FUNCIONAMENTO,16Jun2015 0:00:00,156095,91512,BRASIL
2019,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,34,SOCIOLOGIA,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,MG,JUIZ DE FORA,ACADÊMICO,32005016011P8,CIÊNCIAS SOCIAIS,SOCIAL SCIENCES,4,2005,2005/2009,EM FUNCIONAMENTO,05Mar2013 0:00:00,156143,91539,BRASIL
2019,CIÊNCIAS DA SAÚDE,NUTRIÇÃO,NUTRIÇÃO,NÃO SE APLICA,NÃO SE APLICA,50,NUTRIÇÃO,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,PROFISSIONAL,31021018158P4,SEGURANÇA ALIMENTAR E NUTRICIONAL,FOOD AND NUTRITIONAL SECURITY GRADUATE PROGRAM,A,2019,2019,EM FUNCIONAMENTO,02Jul2019 0:00:00,156298,91684,BRASIL
2019,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,ISAE,INSTITUTO SUPERIOR DE ADMINISTRAÇÃO E ECONOMIA DO MERCOSUL,NÃO,NA,PARTICULAR,PRIVADO,NÃO INFORMADO,SUL,PR,CURITIBA,PROFISSIONAL,40077012001P0,GOVERNANÇA E SUSTENTABILIDADE,PROFESSIONAL MASTER IN GOVERNANCE AND SUSTAINABILITY,3,2013,2013,EM FUNCIONAMENTO,10Apr2013 0:00:00,156304,91690,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,SENSORIAMENTO REMOTO,GEOFÍSICA,SENSORIAMENTO REMOTO,5,GEOCIÊNCIAS,INPE,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,NÃO,NA,FEDERAL,PÚBLICO,NÃO INFORMADO,SUDESTE,SP,SÃO JOSÉ DOS CAMPOS,ACADÊMICO,33010013005P0,SENSORIAMENTO REMOTO,REMOTE SENSING POST-GRADUATION PROGRAM,7,1972,1972/1998,EM FUNCIONAMENTO,21May2013 0:00:00,156314,91699,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,SIM,IFPR,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUL,PR,MARINGÁ,ACADÊMICO,40004015074P6,SUSTENTABILIDADE,SUSTAINABILITY,3,2017,2017,EM FUNCIONAMENTO,01Aug2017 0:00:00,148477,84382,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,UNITAU,UNIVERSIDADE DE TAUBATÉ,NÃO,NA,MUNICIPAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,TAUBATÉ,PROFISSIONAL,33021015013P1,EDUCAÇÃO,EDUCATION,4,2014,2014,EM FUNCIONAMENTO,03Apr2014 0:00:00,159816,94627,BRASIL
2019,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010039P0,ENSINO DE CIÊNCIAS E MATEMÁTICA,SCIENCE AND MATH TEACHING,3,2015,2015,EM FUNCIONAMENTO,19Mar2015 0:00:00,149157,84903,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,PR,CURITIBA,PROFISSIONAL,40006018017P5,PLANEJAMENTO E GOVERNANÇA PÚBLICA,PLANNING AND PUBLIC GOVERNANCE,4,2011,2011,EM FUNCIONAMENTO,12Apr2013 0:00:00,149196,84904,BRASIL
2019,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016018P9,ENGENHARIA MECÂNICA,MECHANICAL ENGINEERING,3,1994,1994,EM FUNCIONAMENTO,17May2013 0:00:00,146939,83545,BRASIL
2019,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016070P0,FILOSOFIA,PHILOSOPHY,3,2011,2011,EM FUNCIONAMENTO,19Mar2014 0:00:00,159734,94565,BRASIL
